name_of_reviewer,reviewer_info,stars,when_reviewed,review_text,review_like_count,response_by,when_responded,what_response
Dhawal Bhatia,Local Guide · 195 reviews · 296 photos,5 stars,5 months ago,"Phoenix Mall is one of the best shopping destinations! The variety of shops here is fantastic, ranging from high-end brands to budget-friendly stores, catering to all tastes and budgets. The food court is equally impressive, offering a great selection of cuisines and popular food joints. The ambiance is lively and well-maintained, making it a great place to spend time with family and friends. Ample parking and clean facilities are a big plus. Highly recommend visiting for shopping, dining, or just hanging out!",,Response from the owner,a year ago,"Thank you for your wonderful review! We're delighted to hear that you enjoyed your visit to Phoenix Mall of the Millennium. Providing an exceptional shopping experience is our goal, and we're thrilled to know we achieved that. Your feedback … More"
Anagha Deshmukh,Local Guide · 118 reviews · 220 photos,5 stars,a week ago,"Very nice mall for kids and adults with lots of options for variety shopping with multiple brand, kids zone , foods, cafés. Mall have beautiful spots for photo clicks.",,,,
Satyam Chougule,Local Guide · 330 reviews · 816 photos,5 stars,5 months ago,"Phoenix Mall of the Millennium in Wakad, Pune, is a top-tier shopping destination that offers a comprehensive experience with a wide variety of retail stores, dining options, and entertainment facilities. The mall features an extensive range of fashion brands, electronics outlets, and specialty shops, catering to diverse shopping preferences. Visitors can also enjoy a variety of dining experiences, from casual fast food to more refined fine dining options. The multiplex cinema adds to the entertainment offerings, providing the latest movie releases in a comfortable setting. The modern architecture and spacious layout enhance the overall shopping experience, making it a favorite spot for both locals and tourists. However, some visitors have mentioned that the availability of washroom facilities could be improved. Overall, Phoenix Mall of the Millennium is a vibrant and convenient destination for a day out, combining shopping, dining, and entertainment in one place.",,Response from the owner,5 months ago,"We appreciate your positive feedback about our facilities! We're dedicated to providing top-notch amenities for all our visitors. Thank you for choosing Phoenix Mall of the Millennium, and we can't wait to see you again!"
anil sharma,Local Guide · 61 reviews · 254 photos,4 stars,2 weeks ago,"I had visited Phoenix Mall of the Millennium in Wakad, Pune some time ago. It was a nice experience overall.

The mall is big, clean, and has a modern look. There are many shops for clothes, shoes, electronics, and more. I liked the variety of brands available – from budget to premium. Overall it feels a little bit expensive. The food court is spacious and has many options like pizzas, burgers, Indian food, and desserts.

The mall also has a multiplex for watching movies and some fun play zones for kids. There are many places to sit and relax inside. The washrooms were clean and easy to find. Security and staff were helpful and polite.

Parking is available but it can get full on weekends. There was a bit of crowd, but the mall is large so it didn’t feel too packed.

Do’s:

-Wear comfortable clothes and shoes, as the mall is big and you may walk a lot.
-Visit during weekdays if you want to avoid the crowd.
-Keep your phone and wallet safe, especially in crowded areas.
-Try different food items in the food court – there’s good variety.

Don’ts:
-Don’t park in no-parking areas outside the mall – you may get fined.
-Don’t bring big bags, as they may be checked at the entrance.
-Don’t litter. Use dustbins provided.

Improvements:
-The mall can improve by adding more sitting areas near shops.
-Signboards for directions inside the mall can also be clearer. -Some parts the AC was not working well.

Overall it is a great place for shopping, food, and fun with family or friends. And don't expect too many discounts.",,,,
Jafar Shaikh,Local Guide · 20 reviews · 179 photos,2 stars,3 weeks ago,"Pathetic parking situation. Took More than 30 mins to reach to spot from the point I enter in parking. Worst visit day 😕😕 Avoid if you can. Mall is good  with lots of food option’s to try with. Parking scratch hurt and makes my day sad at the end. Frustrating parking, worst designer of parking for sure. Not sure how can PMC authorities provide permission on such establishment.",,,,
Karan Ambhore,Local Guide · 15 reviews · 178 photos,5 stars,2 months ago,"🏪🛒🛍️ if you think money can't buy happiness then come to here and see ..One of the largest mall in this area. Located at heart of Wakad with several variety of brands of 👔👕👚clothes and home decor. Well guided in each floors. Foods seem over priced a bit has to be one of the best made malls with most of the major brands under one roof but it is way too crowded during the weekends. On my every visit, I had to stand in queue outside .🛒 Recommended to visit during weekdays and off hours for a good experience❣️",3,Response from the owner,4 months ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Priya Upadhyay,Local Guide · 83 reviews · 186 photos,5 stars,a month ago,"I’ve visited Mall of Millennium many times, and it never disappoints. Everything about it is amazing – from the wide range of shopping options to the vibrant and well-maintained food court. There’s something for everyone here!

But what I enjoy the most is the INOX theatre. The seats are super comfortable, the sound and screen quality are top-notch, and the whole experience is just so relaxing and enjoyable.

Highly recommended for a full day out – shopping, eating, and catching a movie all in one place!",1,Response from the owner,a month ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Sayali Mehta,Local Guide · 113 reviews · 257 photos,5 stars,a month ago,"A Shopper’s Paradise!

One of the most superior malls, Phoenix Mall of the Millennium truly stands out with its stunning interior and eye-catching design. The ambiance is lively, and the mall is packed with a plethora of outlets—whatever brand or store you’re looking for, you’ll most likely find it here!

It’s a place where time just flies by, whether you’re shopping, dining, or simply exploring. With plenty of activities to do, it’s not just a shopping destination but an experience in itself. Love spending time here and would definitely visit over and over again!",,Response from the owner,a month ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Arvind Saharkar,Local Guide · 60 reviews · 409 photos,5 stars,5 months ago,"Phoenix Mall of the Millennium is not just a shopping mall—it’s an experience. The sheer scale of the mall is impressive, and the variety of stores ensures that everyone finds what they’re looking for. Luxury shoppers will love the exclusive brand outlets, while casual shoppers can enjoy the trendy options at affordable prices.

The food court is vast and caters to all tastes, with plenty of seating and a great atmosphere. Entertainment is top-notch, with a state-of-the-art cinema and engaging play zones for kids. The mall also features beautiful event spaces and seasonal decorations that add to the charm.",,Response from the owner,4 months ago,"We appreciate your positive feedback about our facilities! We're dedicated to providing top-notch amenities for all our visitors. Thank you for choosing Phoenix Mall of the Millennium, and we can't wait to see you again!"
Shiv,"Local Guide · 324 reviews · 2,850 photos",5 stars,2 months ago,"Phoenix Mall of the Millennium – A Must-Visit Shopping Destination!

⭐ 4.5/5

Phoenix Mall of the Millennium is an absolute delight for shoppers and food lovers! The mall is beautifully designed with full lighting and creative decorations that make the entire space feel vibrant and modern.

What Makes It Special?

✅ Wide Variety of Outlets – From high-end brands to budget-friendly stores, the mall has something for everyone. Each outlet is creatively decorated, making shopping an enjoyable experience.
✅ Huge Food Court – With a vast selection of cuisines, the food court caters to every taste preference, whether you're in the mood for Indian, Chinese, or continental dishes.
✅ Amazing Ambience – The mall’s interior design is eye-catching, and the festive decorations during special occasions add to the charm.
✅ Entertainment & Fun – From movie theatres to gaming zones, there's plenty to do apart from shopping.

Final Verdict:

If you’re in Pimpri-Chinchwad, Maharashtra, this mall is a must-visit! Whether you’re shopping, dining, or just exploring, Phoenix Mall of the Millennium guarantees an unforgettable experience.

⭐ Rating: 4.5/5",,Response from the owner,2 months ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
ꜱᴜꜱʜᴀɴᴛ ᴍᴏʜɪᴛᴇ,Local Guide · 47 reviews · 104 photos,5 stars,3 months ago,"Phoenix mall is one of the best shopping and entertainment destinations, offering a wide range of brands, diverse dining options, and a lively ambiance. The mall is spacious, well-maintained, and hosts regular live events. The food court has plenty of choices, and parking is ample (though charged hourly). Overall, a great place for shopping, dining, and entertainment.",,Response from the owner,3 months ago,"We appreciate your positive feedback about our facilities! We're dedicated to providing top-notch amenities for all our visitors. Thank you for choosing Phoenix Mall of the Millennium, and we can't wait to see you again!"
Akhil Viswanath,Local Guide · 20 reviews · 58 photos,5 stars,a week ago,"Roamed more than 4hrs through the mall, almost every brand is available to explore, very nice experience for a timeout! Parking is a bit of a rush during peak hours, but local transportation is readily available. This location is open for all ages. 🛍️🚶‍♀️🕒 #Mall #Shopping #Exploration #FamilyFun #RetailTherapy …",1,,,
Vaibhav Asare,Local Guide · 19 reviews · 2 photos,5 stars,2 weeks ago,"Phoenix Mall of the Millennium is an exceptional destination that blends shopping, dining, and entertainment seamlessly. With its vast range of high-end brands, spacious interiors, and elegant ambiance, it offers a premium retail experience. The food court is diverse, catering to all tastes—from local flavors to global cuisines. Clean facilities, ample parking, and vibrant decor make every visit enjoyable. Whether you're shopping, catching a movie, or just hanging out, it’s the perfect place for families, friends, and solo visitors alike. A modern mall that truly lives up to its name!",,,,
Sawan Mishra,Local Guide · 81 reviews · 38 photos,4 stars,4 months ago,"Phoenix Mall of the Millennium offers a great shopping and entertainment experience. The ambiance is impressive, with modern interiors and a well-maintained layout that enhances the overall vibe. Hygiene standards are commendable, with clean restrooms and well-kept common areas.

The mall provides paid parking within its premises, which is convenient, though it can be a bit crowded during peak hours. Overall, it's an excellent destination for shopping, dining, and leisure, with just a little room for improvement to make it perfect.",,Response from the owner,4 months ago,Thank you for sharing your wonderful experience at Phoenix Mall of the Millennium! We’re delighted to hear that you enjoyed your visit and appreciate your kind words. We’re committed to providing an exceptional shopping and entertainment experience for all our guests. We look forward to welcoming you back soon!
Arun Dixit,"Local Guide · 316 reviews · 1,218 photos",5 stars,2 months ago,"Few years old mall is of Global status. All top international brands are housef beautifully. All Fashion, food, entertainment and cinema at one place. All amenities well maintained. Spread in GF, upper floor and four levels. Underground parkings. Arcade games, kids area and lovely food court. Enjoyed with friends.",1,,,
Khyati Nanda,Local Guide · 36 reviews · 38 photos,4 stars,3 months ago,Beautiful Mall.. I really loved the food court.. There’s one regular and one street like where you’ll get to see premium brands.. It is big and spacious.. The decoration in the mall seems very premium.. There’s a big screen where you can relax and watch cricket (if on going) Though it is paid.. Crowded on weekends and have to wait long for parking..,,,,
Siddhi Khebudkar,Local Guide · 6 reviews · 8 photos,5 stars,5 months ago,"This mall offers a great shopping experience with a wide variety of options. The food court has plenty of choices. The mall is clean, well-maintained, and spacious. Fountain show is a great relaxing experience. Parking is easy, though it gets crowded on weekends . A nice destination for shopping, dining, and family-friendly fun. Highly recommended!",,Response from the owner,5 months ago,Thank you for sharing your wonderful experience! We're delighted you chose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Namrata Sorte,Local Guide · 85 reviews · 54 photos,4 stars,4 months ago,"Nice spacious mall, with variety of shops, eateries, restaurants, theatre all under one roof. It has ample of space for vehicle parking and they’ve two entry & exit gates. Much crowd visit over weekend yet don’t feel too much crowded as it’s spacious so one has walk a lot, it’s managed well & clean.",,Response from the owner,4 months ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Sumit K,Local Guide · 63 reviews · 150 photos,5 stars,5 months ago,"It's truly a landmark and one of the largest malls in the city. It boasts an incredible array of shopping brands, catering to every taste and budget – from high-end luxury stores to popular everyday brands. Whether you're a shopaholic or just looking for something specific, you're sure to find it here.

The food and beverage options are just as impressive, with a vast selection of restaurants, cafes, and snack kiosks to choose from. Whether you’re in the mood for a quick bite, a fine-dining experience, or a relaxed coffee break, the mall has it all.

Entertainment is another highlight, with the INOX multiplex featuring 14 screens, including a kids screen called Kiddles and an IMAX experience that truly brings movies to life. It’s a fantastic place for movie buffs to enjoy the latest releases in premium comfort.

The mall’s layout is thoughtfully designed, making navigation easy despite its size. The ambiance is lively yet sophisticated, with clean and well-maintained spaces. Regular events, seasonal decorations, and live performances add to the charm and create a vibrant atmosphere.

To top it all off, the mall offers ample parking space and excellent security, ensuring a hassle-free visit for families, friends, or solo explorers.

Phoenix Mall of Millennium is more than just a shopping destination; it’s a complete experience that combines retail therapy, culinary adventures, and entertainment under one roof. A must-visit spot in Pune!",,Response from the owner,4 months ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Rushabh Gundal,"Local Guide · 193 reviews · 11,155 photos",5 stars,2 months ago,"Phoenix Mall of the Millennium has quickly become one of my favorite places to visit in Pune. Whether I’m looking for a shopping spree, a café to relax in, or just a nice place to spend time, this mall has everything I need. From the moment I walked in, the modern architecture and spacious design stood out, making it feel like a premium shopping destination. Unlike some of the older malls that feel congested, this one is well-planned, offering a smooth and enjoyable experience.

One of the biggest highlights of this mall is its variety of stores. Whether I’m looking for fashion, electronics, or lifestyle products, there are plenty of options to explore. The mall has a mix of high-end brands and budget-friendly stores, making it a great place for all types of shoppers. I enjoyed walking around, checking out the latest collections, and discovering new brands that aren’t available in every mall. The mall layout makes it easy to navigate, and even on weekends, it doesn’t feel overwhelmingly crowded.

Apart from shopping, the food and beverage options here are a big reason why I keep coming back. The mall has an impressive lineup of cafes and restaurants, including Starbucks, where I grabbed my usual Double Chocolate Chip Frappuccino. The seating areas are comfortable, and it’s a great spot to relax after a long shopping session. There are also plenty of other eateries, so whether you’re in the mood for a quick bite or a full meal, there’s something for every craving.

The ambiance of the mall is another thing I appreciate. It has a vibrant yet relaxed feel, with a good mix of shoppers, families, and people just enjoying their time. Unlike some malls that can feel chaotic, this one maintains a balance between energy and comfort. The cleanliness and maintenance are also worth mentioning—the entire space feels fresh and well-kept, which adds to the overall experience.

Another big plus is the ample parking space, which makes getting in and out of the mall hassle-free. I’ve been to malls where finding a parking spot is a nightmare, but here, the process is smooth, making the visit much more convenient.

Overall, Phoenix Mall of the Millennium is a fantastic place to shop, dine, and unwind. Whether I want to explore new stores, grab my favorite Starbucks drink, or simply enjoy a nice outing, this mall offers everything in one place. It’s definitely a spot I’ll keep coming back to!",,Response from the owner,2 months ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Sanjay Vankudre,Local Guide · 41 reviews · 45 photos,5 stars,4 months ago,A very beautiful shopping mall with a huge parking space (ample parking-Paid through fastag). The interior and exterior of the mall is so beautiful. You can purchase top class branded products here. Try to visit this place in the evening to see the beauty.,,Response from the owner,3 months ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Sumeet Sawant,"Local Guide · 470 reviews · 3,709 photos",4 stars,a week ago,"Phoenix Mall of the Millennium in Wakad, Pune, is a contemporary retail and entertainment hub that has quickly become a prominent destination for shopping, dining, and leisure activities. Spanning 16 acres with over 1.2 million square feet of leasable space, the mall offers a diverse range of experiences for visitors.",,,,
Dimple Kapleshwari,"Local Guide · 44 reviews · 1,512 photos",4 stars,a month ago,"Phoenix Mall of the Millennium is located at JQ24+6J Pimpri-Chinchwad, Maharashtra O
Shankar Kalat Nagar, Wakad, Pimpri-Chinchwad, Maharashtra 411057

Phoenix Mall of the Millennium is the biggest mall in Wakad, Pune, and it is the ultimate shopping destination!

Discover an unparalleled shopping experience with top global and Indian brands, fine dining restaurants, entertainment zones, and much more, all under one roof.

Whether you're shopping, dining, or enjoying leisure activities, Phoenix Mall Wakad promises a memorable experience for everyone. Conveniently located in the heart of Wakad, Pune Millennium Mall Wakad is where fashion, food, and fun converge.

Must visit to explore the best of what Mall of the Millennium has to offer!",,Response from the owner,a month ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Santosh Panda,Local Guide · 245 reviews · 447 photos,5 stars,5 months ago,"This is a biggest & great mall of West Pune. Most of the national and international brands in lifestyle, fashion, ethnic wear, apparels, home decor, foods, shoes, super store etc. are available here. Great ambiance with multiplex is all in one Stop destination for people. Nice decoration and plenty of sitting arrangement is appreciated 👍

Huge 6 floors of mall for shopping and entertainment. Sign board for washroom and elevator needs to improve as all folks don't understand the picture only. So there should be written signboard as well for suitable for all kinds of visitors.

Similar huge multi floor parking area with mechanical smart car parking system to accommodate many vehicles. Lots of food options indian, South Indian, north indian, fast food and other traditional maharashtrian and jain options are available. Big brands Pizza Hut, Domino's, McDonald's, Buggies burger, WOW Chinese, KFC and many more.

Only problem is narrow approach road to mall and residential area around makes lots of time waste in parking queues. Be aware unauthorised parking outside of the mall (2 W and 4W) end up in towing by Traffic.

Enjoy your shopping with family and friends. Plan to include parking time when visiting the Mall..
Take care of your health.",,Response from the owner,5 months ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Kanaka A,Local Guide · 38 reviews · 171 photos,5 stars,6 months ago,"Feels like a mall in abroad! That's right, that's what i heard the passerby say. It's fantastic! ✨️ The design is of circular shape, which makes us feel like it's never ending. Best thing I noticed is the space they've given to each brand. Zara - amazing interior it's got. 4 floors in total with ground floor at the base and with that is the parking in the basement.
I would like to make a note on the parking.. this is my first time experiencing that parking in a mall requires such exhaustive wait! We reached the mall around 6.15, and the wait was around a half hour. 🥲
The place was worth the wait, though I think more efficient methods could be utilized to save time.

One should definitely visit. 😊",1,Response from the owner,6 months ago,"Thank you for choosing Phoenix Mall of the Millennium as your shopping destination. We're thrilled to be recognized as the biggest mall in Pimpri Chinchwad and one of the top shopping malls in the Wakad area. Your support means a lot to us, and we're dedicated to maintaining our reputation as a premier shopping center."
Shivam Sharma,"Local Guide · 257 reviews · 1,216 photos",5 stars,5 months ago,"An awesome experience Mall management knows the very well how to attract the crowd and keep them engaged like Christmas themed and Santa Claus type circus 🎪 and gifting etc
A very well designed mall is a good thing to have a feeding room and a special space for diaper change.",,Response from the owner,5 months ago,Thank you for sharing your wonderful experience! We're delighted you chose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Rutuja,"Local Guide · 369 reviews · 1,072 photos",3 stars,7 months ago,"The mall itself is huge and has the majority of good brands in place. There is a huge food court which has a lot of options to eat from. The space for sitting seems less, especially on the weekends.
The escalators are placed well. There is a good collection of items in various shops. Major shopping needs clothing, footwear, jewellery, electronics, can be fulfilled in this one place.
However, the mall parking, especially for the cars is a big no-no. It takes hours to get your car parked in the parking and same while you want to leave. The staff does not manage parking efficiently. We spent around 30 minutes just waiting to park our car and 20 minutes while getting our car from the upper level parking lot.  This needs to be managed well.",2,,,
Anil Watane,Local Guide · 47 reviews · 725 photos,5 stars,2 months ago,"Mall interior is very attractive. Lot of things are kept for photos.
Only negative is that the seating in the food court. You need to wait a lot or kind of first cum first occupant for eating. If you go on the holiday or weekend then you had it for food.",1,Response from the owner,7 months ago,"Thank you for your fantastic review! We're thrilled to learn about your excellent experience at Phoenix Mall of the Millennium in Wakad, Pune. As the largest shopping destination in the area, we're dedicated to delivering top-notch shopping experiences. We look forward to welcoming you back soon."
Suyash Gore,Local Guide · 85 reviews · 331 photos,5 stars,a month ago,"Phoenix Mall of the Millennium in Wakad, Pune, stands as a premier destination for shopping, dining, and entertainment. Spanning over 12 lakh square feet of leasable area across 16 acres, it is recognized as the largest shopping center in Pune.  ￼ ￼

The mall hosts an impressive collection of over 350 national and international brands, including anchor stores like H&M, Lifestyle, Marks & Spencer, Reliance Trends, Westside, Hamley’s, and Shopper’s Stop.  Shoppers can also find star brands such as Swarovski and Nautica, catering to diverse fashion preferences.  ￼ ￼

Dining options are abundant, with more than 75 establishments offering a variety of cuisines. The Oasis Food Court, one of the largest in the city, features notable restaurants like Punjab Grill, Copper Chimney, Third Wave Coffee, and Blue Tokai.  ￼ ￼

Entertainment is a key highlight, featuring a 14-screen INOX megaplex equipped with 2,200 seats for a world-class cinematic experience.  Family-friendly attractions include Timezone and Fun City, offering activities like bowling, arcade games, and virtual reality experiences.  ￼ ￼

Architecturally, the mall boasts three distinctive atriums—Plaza Flourish, Rains of Nourish Atria, and Opulent Atrium—blending contemporary and futuristic designs. A musical fountain, the Fountain Plaza, serves as a focal point, surrounded by landscaped greenery and art-deco installations.  ￼

Accessibility is well-planned, with multiple entry points, hassle-free drop-offs across three levels, and a nine-level parking facility.  The mall’s strategic location on the Pune-Bangalore Highway, near Sayaji Hotel, ensures convenient connectivity.  ￼ ￼

Sustainability initiatives include rainwater harvesting systems and a 1.5-ton organic waste converter, reflecting the mall’s commitment to eco-friendly practices.  ￼

The mall is expected to generate employment for more than 10,000 individuals directly and indirectly, contributing significantly to the local economy",,Response from the owner,a month ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Sharad Shandilya,Local Guide · 166 reviews · 290 photos,5 stars,5 months ago,"Mall of the Millennium as the name suggest it is beautiful. I visited during christmas, well decorated, big xmas tree and colourful fountains dancing on the musical beats. Loved the view and obviously it was overcrowded on that day but very well managed by the officials who were seriously playing their roles. The mall is spacious and have variety of stores.",,Response from the owner,4 months ago,"We're thrilled to hear you loved the ambiance at Phoenix Mall of the Millennium! Creating a welcoming atmosphere is important to us, and your feedback inspires us to keep enhancing our environment. We hope to see you again soon!"
Pranav Mankape,Local Guide · 71 reviews · 297 photos,4 stars,a month ago,Very big mall with all of the famous brands and shop with big food court and also the parking is very big. One pf the top malls of pune with a great crowd,,Response from the owner,a month ago,"We appreciate your positive feedback about our facilities! We're dedicated to providing top-notch amenities for all our visitors. Thank you for choosing Phoenix Mall of the Millennium, and we can't wait to see you again!"
Sarvesh Singh (manimal),Local Guide · 46 reviews · 590 photos,4 stars,2 months ago,Enjoyed a lovely weekend here. Their food court is a must visit place. The only complaint here is the parking situation. It's very congested especially for 2 wheelers.,,,,
Rajiv Rathod,Local Guide · 61 reviews · 69 photos,4 stars,5 months ago,"Nice mall located off the Bombay Pune Highway at wakad. And inaugurated around 15 sep 2023. Majority of brands available. Nice place to hang out, shopping , kids zone and loads of food and dining options. Washrooms are well maintained and hygienic and overall mall is maintained well.",,Response from the owner,5 months ago,Thank you for your kind words about our location! We're glad you found Phoenix Mall of the Millennium easily accessible. We hope to see you again soon!
KRISHNAYAN HALDAR,"Local Guide · 241 reviews · 1,704 photos",5 stars,2 weeks ago,"Great mall, largest mall, heavily crowded. Beautiful architecture,  design,  but costly items",,,,
Amit Bhaije,Local Guide · 59 reviews · 90 photos,4 stars,4 weeks ago,"It is one the best places to visit if you want to spend a day just for have a chill time eating or shopping or just enjoy a walk.
The decorations outside are worth visiting to watch.
Great atmosphere, good cleanliness ✌🏻 …",,,,
